eje_x,eje_y,eje_z,timestamp
1201731.0,985633.0,0.0,1681201259361
1203023.0,986557.0,0.0,1681201259409
1204601.0,988045.0,0.0,1681201259458
1206239.0,989963.0,0.0,1681201259506
1208621.0,992191.0,0.0,1681201259554
1210665.0,993799.0,0.0,1681201259602
1212527.0,995397.0,0.0,1681201259651
1213617.0,997067.0,0.0,1681201259699
1214645.0,997953.0,0.0,1681201259747
1215215.0,998027.0,0.0,1681201259795
1213831.0,996921.0,0.0,1681201259844
1211887.0,994711.0,0.0,1681201259892
1210361.0,992263.0,0.0,1681201259940
1208253.0,990639.0,0.0,1681201259988
1208163.0,990099.0,0.0,1681201260037
1207847.0,990009.0,0.0,1681201260085
1207827.0,991041.0,0.0,1681201260133
1208743.0,991451.0,0.0,1681201260181
1208945.0,991743.0,0.0,1681201260229
1210055.0,992575.0,0.0,1681201260278
1210747.0,993105.0,0.0,1681201260327
1211989.0,994411.0,0.0,1681201260375
1212579.0,995031.0,0.0,1681201260423
1213749.0,996227.0,0.0,1681201260471
1213689.0,996255.0,0.0,1681201260520
1212101.0,995131.0,0.0,1681201260568
1210299.0,992447.0,0.0,1681201260616
1207195.0,989643.0,0.0,1681201260664
1205211.0,987123.0,0.0,1681201260712
1203115.0,985835.0,0.0,1681201260760
1201629.0,985625.0,0.0,1681201260809
1201029.0,984729.0,0.0,1681201260857
1201211.0,984875.0,0.0,1681201260905
1201415.0,985451.0,0.0,1681201260953
1201537.0,985743.0,0.0,1681201261001
1201345.0,985963.0,0.0,1681201261050
1201639.0,986117.0,0.0,1681201261098
1201221.0,986053.0,0.0,1681201261146
1201457.0,986747.0,0.0,1681201261194
1201425.0,987041.0,0.0,1681201261243
1200743.0,985277.0,0.0,1681201261292
1199257.0,984035.0,0.0,1681201261340
1197661.0,982227.0,0.0,1681201261388
1195451.0,980519.0,0.0,1681201261437
1194445.0,979387.0,0.0,1681201261485
1193233.0,978913.0,0.0,1681201261533
1193203.0,978693.0,0.0,1681201261581
1192551.0,978957.0,0.0,1681201261629
1192419.0,979187.0,0.0,1681201261677
